"","Model","InOutSample","Location","Denomination","fh","MAPE"
"80","ARIMA","Out Sample","Jakarta","K10000",4,81.2645733662596
"81","ARIMA","Out Sample","Jakarta","K10000",5,77.7277531658318
"82","ARIMA","Out Sample","Jakarta","K10000",6,72.5422699195145
"83","ARIMA","Out Sample","Jakarta","K10000",7,69.5198171192508
"84","ARIMA","Out Sample","Jakarta","K10000",8,67.5867462048516
"85","ARIMA","Out Sample","Jakarta","K10000",9,68.94892690432
"86","ARIMA","Out Sample","Jakarta","K10000",10,65.5314402222173
"87","ARIMA","Out Sample","Jakarta","K10000",11,79.913639614642
"88","ARIMA","Out Sample","Jakarta","K10000",12,87.1995203740923
"89","ARIMA","Out Sample","Jakarta","K10000",13,80.6419880260559
"90","ARIMA","Out Sample","Jakarta","K10000",14,79.3235795266095
"91","ARIMA","Out Sample","Jakarta","K10000",15,74.2447749764434
"92","ARIMA","Out Sample","Jakarta","K10000",16,73.7721318521801
"93","ARIMA","Out Sample","Jakarta","K10000",17,70.7606381077836
"94","ARIMA","Out Sample","Jakarta","K10000",18,68.1240757698622
"95","ARIMA","Out Sample","Jakarta","K10000",19,65.8428851107342
"96","ARIMA","Out Sample","Jakarta","K10000",20,63.3851345138076
"97","ARIMA","Out Sample","Jakarta","K10000",21,64.4411404757486
"98","ARIMA","Out Sample","Jakarta","K10000",22,78.2059973798623
"99","ARIMA","Out Sample","Jakarta","K10000",23,92.8136524887566
"100","ARIMA","Out Sample","Jakarta","K10000",24,91.4913220781857
"101","ARIMA","In Sample","Jakarta","K5000",0,82.2103987131525
"102","ARIMA","Out Sample","Jakarta","K5000",1,220.882538649245
"103","ARIMA","Out Sample","Jakarta","K5000",2,120.615093733102
"104","ARIMA","Out Sample","Jakarta","K5000",3,81.5886406619642
"105","ARIMA","Out Sample","Jakarta","K5000",4,107.930811991835
"106","ARIMA","Out Sample","Jakarta","K5000",5,99.5440230056748
"107","ARIMA","Out Sample","Jakarta","K5000",6,90.4964150582683
"108","ARIMA","Out Sample","Jakarta","K5000",7,80.3134886545623
"109","ARIMA","Out Sample","Jakarta","K5000",8,70.454328905829
"110","ARIMA","Out Sample","Jakarta","K5000",9,69.9625923282861
"111","ARIMA","Out Sample","Jakarta","K5000",10,64.0727060690419
"112","ARIMA","Out Sample","Jakarta","K5000",11,93.8363509030055
"113","ARIMA","Out Sample","Jakarta","K5000",12,116.979598793891
"114","ARIMA","Out Sample","Jakarta","K5000",13,122.609449733359
"115","ARIMA","Out Sample","Jakarta","K5000",14,114.688103502222
"116","ARIMA","Out Sample","Jakarta","K5000",15,124.733094107798
"117","ARIMA","Out Sample","Jakarta","K5000",16,117.81896592658
"118","ARIMA","Out Sample","Jakarta","K5000",17,119.262714792948
"119","ARIMA","Out Sample","Jakarta","K5000",18,115.052976771595
