,Model,InOutSample,Location,Denomination,fh,MAPE
103,ARIMA,Out Sample,Jakarta,5000,2,120.6150937
104,ARIMA,Out Sample,Jakarta,5000,3,81.58864066
105,ARIMA,Out Sample,Jakarta,5000,4,107.930812
106,ARIMA,Out Sample,Jakarta,5000,5,99.54402301
107,ARIMA,Out Sample,Jakarta,5000,6,90.49641506
108,ARIMA,Out Sample,Jakarta,5000,7,80.31348865
109,ARIMA,Out Sample,Jakarta,5000,8,70.45432891
110,ARIMA,Out Sample,Jakarta,5000,9,69.96259233
111,ARIMA,Out Sample,Jakarta,5000,10,64.07270607
112,ARIMA,Out Sample,Jakarta,5000,11,93.8363509
113,ARIMA,Out Sample,Jakarta,5000,12,116.9795988
114,ARIMA,Out Sample,Jakarta,5000,13,122.6094497
115,ARIMA,Out Sample,Jakarta,5000,14,114.6881035
116,ARIMA,Out Sample,Jakarta,5000,15,124.7330941
117,ARIMA,Out Sample,Jakarta,5000,16,117.8189659
118,ARIMA,Out Sample,Jakarta,5000,17,119.2627148
119,ARIMA,Out Sample,Jakarta,5000,18,115.0529768
120,ARIMA,Out Sample,Jakarta,5000,19,109.9847844
121,ARIMA,Out Sample,Jakarta,5000,20,105.1701205
122,ARIMA,Out Sample,Jakarta,5000,21,104.1706539
123,ARIMA,Out Sample,Jakarta,5000,22,148.508701
124,ARIMA,Out Sample,Jakarta,5000,23,194.6436548
125,ARIMA,Out Sample,Jakarta,5000,24,211.9061274
126,ARIMA,In Sample,Jakarta,2000,0,3228.472119
127,ARIMA,Out Sample,Jakarta,2000,1,2878.186426
128,ARIMA,Out Sample,Jakarta,2000,2,1944.163817
129,ARIMA,Out Sample,Jakarta,2000,3,1386.032184
130,ARIMA,Out Sample,Jakarta,2000,4,1101.718241
131,ARIMA,Out Sample,Jakarta,2000,5,893.5978615
132,ARIMA,Out Sample,Jakarta,2000,6,748.3834733
133,ARIMA,Out Sample,Jakarta,2000,7,643.5519217
134,ARIMA,Out Sample,Jakarta,2000,8,570.5000255
135,ARIMA,Out Sample,Jakarta,2000,9,511.7538585
136,ARIMA,Out Sample,Jakarta,2000,10,464.8439808
137,ARIMA,Out Sample,Jakarta,2000,11,426.2669771
138,ARIMA,Out Sample,Jakarta,2000,12,391.5215419
139,ARIMA,Out Sample,Jakarta,2000,13,820.0932076
140,ARIMA,Out Sample,Jakarta,2000,14,817.467234
141,ARIMA,Out Sample,Jakarta,2000,15,840.5413595
142,ARIMA,Out Sample,Jakarta,2000,16,850.4532417
143,ARIMA,Out Sample,Jakarta,2000,17,820.8306487
144,ARIMA,Out Sample,Jakarta,2000,18,776.5893575
145,ARIMA,Out Sample,Jakarta,2000,19,743.7861986
146,ARIMA,Out Sample,Jakarta,2000,20,708.9692713
147,ARIMA,Out Sample,Jakarta,2000,21,680.5111518
148,ARIMA,Out Sample,Jakarta,2000,22,650.0260991
149,ARIMA,Out Sample,Jakarta,2000,23,624.8732843
150,ARIMA,Out Sample,Jakarta,2000,24,607.045018
151,ARIMA,In Sample,Jakarta,1000,0,115026.7591
152,ARIMA,Out Sample,Jakarta,1000,1,30.29880406
153,ARIMA,Out Sample,Jakarta,1000,2,25.35197378
154,ARIMA,Out Sample,Jakarta,1000,3,995.2290953
155,ARIMA,Out Sample,Jakarta,1000,4,7226.409045
156,ARIMA,Out Sample,Jakarta,1000,5,19794.44948
