"","Model","InOutSample","Location","Denomination","fh","MAPE","RMSE","linearmodel","nonlinearmodel","preprocessing","ID","DateExecuted"
"25","ARIMA-Individual","Out Sample","Jakarta","K100000",24,35.5108076796764,4265506.68378219,"ARIMA(0,1,1)(1,0,0)[12]","","Box-Cox lambda -0.0432558225810838","f6a48a54d17c4afb90c912fdb28be2d4",2020-10-21 13:52:36
"26","ARIMAX-Individual","In Sample","Jakarta","K100000",0,40.223484056706,1570087.6583251,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"27","ARIMAX-Individual","Out Sample","Jakarta","K100000",1,0.851960855914888,39045.6267266013,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"28","ARIMAX-Individual","Out Sample","Jakarta","K100000",2,3.63599769020427,256537.517256239,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"29","ARIMAX-Individual","Out Sample","Jakarta","K100000",3,5.11195915871088,414799.136402802,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"30","ARIMAX-Individual","Out Sample","Jakarta","K100000",4,5.12559313070132,391360.042935055,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"31","ARIMAX-Individual","Out Sample","Jakarta","K100000",5,11.1535979757311,2128240.50122764,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"32","ARIMAX-Individual","Out Sample","Jakarta","K100000",6,12.6073912306502,1963673.93946296,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"33","ARIMAX-Individual","Out Sample","Jakarta","K100000",7,11.6097750306712,1821069.26059543,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"34","ARIMAX-Individual","Out Sample","Jakarta","K100000",8,10.709082661634,1705651.24494991,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"35","ARIMAX-Individual","Out Sample","Jakarta","K100000",9,9.61746026294399,1608233.59683911,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"36","ARIMAX-Individual","Out Sample","Jakarta","K100000",10,11.0370954421471,1636604.46648,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"37","ARIMAX-Individual","Out Sample","Jakarta","K100000",11,16.1140979917698,4274020.46094165,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"38","ARIMAX-Individual","Out Sample","Jakarta","K100000",12,31.0954025666094,4517688.58105602,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"39","ARIMAX-Individual","Out Sample","Jakarta","K100000",13,31.4144476332118,4357700.56236978,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"40","ARIMAX-Individual","Out Sample","Jakarta","K100000",14,31.639943944836,4285802.53763328,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"41","ARIMAX-Individual","Out Sample","Jakarta","K100000",15,29.7518763167363,4140838.11380525,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"42","ARIMAX-Individual","Out Sample","Jakarta","K100000",16,29.6174050112194,4052903.65909256,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"43","ARIMAX-Individual","Out Sample","Jakarta","K100000",17,29.8303673746909,4027447.11267351,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"44","ARIMAX-Individual","Out Sample","Jakarta","K100000",18,29.2237285122604,3918602.66298019,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"45","ARIMAX-Individual","Out Sample","Jakarta","K100000",19,30.1641482359369,3836584.47440174,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"46","ARIMAX-Individual","Out Sample","Jakarta","K100000",20,30.3593749175457,3801701.28819002,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"47","ARIMAX-Individual","Out Sample","Jakarta","K100000",21,28.9801637101592,3710134.83985217,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"48","ARIMAX-Individual","Out Sample","Jakarta","K100000",22,28.566809386598,3638773.69724097,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"49","ARIMAX-Individual","Out Sample","Jakarta","K100000",23,30.0292363117935,4371933.21086371,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"50","ARIMAX-Individual","Out Sample","Jakarta","K100000",24,31.9692869836791,4325922.06714975,"Regression with ARIMA(1,1,2)(1,0,0)[12] errors","","Box-Cox lambda -0.0432558225810838","55a62f382ced324eb1ae6b3a6c1ec644",2020-10-21 13:52:40
"51","ARIMA-Individual","In Sample","Jakarta","K100000",0,46.8789940697084,1537624.97274128,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"52","ARIMA-Individual","Out Sample","Jakarta","K100000",1,2.49423804540708,114311.692857848,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"53","ARIMA-Individual","Out Sample","Jakarta","K100000",2,5.06866355823174,314210.310129563,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"54","ARIMA-Individual","Out Sample","Jakarta","K100000",3,3.87049501564441,264768.93386502,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
"55","ARIMA-Individual","Out Sample","Jakarta","K100000",4,5.26712422776056,365224.050667441,"ARIMA(0,1,2)(1,0,0)[12]","","","16d41a8bb9df7cdef400bef80676358d",2020-10-21 13:52:44
