Model,InOutSample,Location,Denomination,fh,MAPE,RMSE,linearmodel,nonlinearmodel,preprocessing,ID,DateExecuted,weightingMethod,weightingModel1,weightingModel2
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,23,474.58407425637745,376958.11501178314,"ARIMA(0,0,0)(1,0,0)[12] with zero mean",19,Box-Cox lambda 1,61f2389251ef0c4d381c4fda1453c3ed,2020-10-24T14:04:28Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,24,458.85655177882904,440128.3254175656,"ARIMA(0,0,0)(1,0,0)[12] with zero mean",19,Box-Cox lambda 1,61f2389251ef0c4d381c4fda1453c3ed,2020-10-24T14:04:28Z,,,
MLP-ARIMA-Series,In Sample,Jakarta,K20000,0,21.762501942118874,29959.621301844196,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,1,4.065040126014127,19127.131678931124,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,2,6.253361249095716,42898.118135621684,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,3,3904.88843689198,187299.70311615698,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,4,3110.9386360309095,175932.56624689503,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,5,2551.05960570756,199122.35519303623,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,6,2194.898555309371,250862.57665379145,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,7,1888.6564444873518,238235.91525206534,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,8,1668.122092221402,228900.32583463253,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,9,1483.8740671512348,216105.163940484,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,10,1347.2277683092102,211955.34045096696,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
MLP-ARIMA-Series,Out Sample,Jakarta,K20000,11,1227.3997716651463,203000.30541955444,"ARIMA(0,0,0)(0,0,1)[12] with zero mean",16-6,Box-Cox lambda 1,3127034b5bba96a7de61e439e4331e77,2020-10-24T14:05:06Z,,,
