Flow,Kota,Tahun,Bulan,K100000,K50000,K20000,K10000,K5000,K2000,K1000,L1000,L500,L200,L100,L50
Outflow,Surabaya,1994,1,,8895.000,76270.000,113716.000,16123.500,,7568.200,2.000,1.000,,175.550,109.350
Outflow,Surabaya,1994,2,,9850.000,115288.000,149567.000,19767.500,,7468.900,101.600,85.000,,262.850,125.050
Outflow,Surabaya,1994,3,,16225.000,148720.000,140498.000,19339.000,,12365.900,108.000,79.000,,204.300,115.150
Outflow,Surabaya,1994,4,,17255.000,69928.000,121009.000,14344.580,,6960.610,3.200,2.000,,111.700,66.700
Outflow,Surabaya,1994,5,,17225.000,84176.000,116990.000,14137.500,,6411.200,155.600,1.500,,138.250,63.850
Outflow,Surabaya,1994,6,,13750.000,116770.000,107837.000,11061.000,,7100.800,176.400,1.000,,185.850,98.300
Outflow,Surabaya,1994,7,,34645.000,80562.000,120540.000,13066.000,,7394.300,33.600,1.250,,198.100,88.550
Outflow,Surabaya,1994,8,,92200.000,154166.000,163496.000,16466.500,,6332.800,92.000,0.750,,203.550,97.400
Outflow,Surabaya,1994,9,,30910.000,127886.000,162661.000,20864.000,,6265.800,160.000,17.250,,234.850,96.100
Outflow,Surabaya,1994,10,,37235.000,97710.000,111383.000,8857.500,,7762.000,56.000,,,316.850,122.300
Outflow,Surabaya,1994,11,,28630.000,121112.000,101613.000,7390.000,,7885.200,,,,464.400,147.900
Outflow,Surabaya,1994,12,,24545.000,129646.000,170215.000,7560.000,,8860.600,,,,516.500,168.800
Outflow,Surabaya,1995,1,,37445.000,120066.000,109939.000,6487.500,,8927.000,2.800,0.250,,541.000,176.500
Outflow,Surabaya,1995,2,,33765.000,219802.000,191827.000,15359.000,,11854.300,12.800,18.000,,605.500,190.500
Outflow,Surabaya,1995,3,,21830.000,150542.000,98709.000,6700.500,,5618.600,,0.250,,364.000,133.380
Outflow,Surabaya,1995,4,,45300.000,112316.000,119020.000,9082.000,,6591.900,0.400,,,284.000,112.080
Outflow,Surabaya,1995,5,,41770.000,128436.000,130410.000,4638.000,,7003.500,,,,301.200,103.250
Outflow,Surabaya,1995,6,,38930.000,140776.000,135353.000,8352.000,,8172.900,0.400,0.500,,345.800,135.850
Outflow,Surabaya,1995,7,,38450.000,132786.000,112771.000,7759.500,,7882.900,,,,343.200,146.450
Outflow,Surabaya,1995,8,,43190.000,224780.000,170540.000,7575.000,,7825.900,5.200,3.750,,297.650,126.150
Outflow,Surabaya,1995,9,,48030.000,148378.000,159456.870,7534.500,,8226.800,,,,382.660,171.700
Outflow,Surabaya,1995,10,,57673.000,138149.000,116283.000,12049.500,,9107.100,0.800,,,314.450,127.550
Outflow,Surabaya,1995,11,,64263.200,139465.800,116221.000,13256.500,,9740.000,0.800,,,294.700,165.750
Outflow,Surabaya,1995,12,,63495.000,165843.000,117149.000,13580.000,,9474.400,,,,276.300,134.950
Outflow,Surabaya,1996,1,,79240.000,129668.860,103588.000,10931.000,,13403.110,2.400,,,325.500,67.280
Outflow,Surabaya,1996,2,,141390.000,157892.600,172909.000,10558.000,,12383.700,6.400,14.000,,190.000,60.700
Outflow,Surabaya,1996,3,,107890.000,127746.000,99460.000,7823.500,,6499.300,0.400,15.000,,118.700,58.250
Outflow,Surabaya,1996,4,,110035.000,130414.000,99248.000,7573.800,,7403.500,2.000,3.000,,121.550,56.300
Outflow,Surabaya,1996,5,,104955.000,149578.000,102268.000,9981.500,,9388.300,0.400,4.000,,174.900,57.580
Outflow,Surabaya,1996,6,,99455.000,154170.000,96214.000,10605.500,,8283.400,2.800,8.500,,270.750,45.550
Outflow,Surabaya,1996,7,,75890.000,178756.000,102818.000,10926.500,,9119.300,0.400,6.250,,348.250,85.150
Outflow,Surabaya,1996,8,,96500.000,324552.000,150772.000,10954.000,,10011.000,0.800,24.000,,425.900,112.130
Outflow,Surabaya,1996,9,,78350.000,177978.000,99551.000,11480.000,,9612.600,8.400,14.500,,429.800,124.500
Outflow,Surabaya,1996,10,,76625.000,177934.000,90241.000,10967.000,,10547.600,5.140,16.750,,488.900,162.480
Outflow,Surabaya,1996,11,,96925.000,177680.000,82863.000,13433.500,,10303.200,3.000,20.000,,597.200,173.380
Outflow,Surabaya,1996,12,,83995.000,225626.000,95608.000,12881.000,,11232.600,3.000,1.250,,670.000,171.150
Outflow,Surabaya,1997,1,,107815.000,234946.000,171911.000,19290.000,,16764.800,5.000,24.000,,712.050,242.150
Outflow,Surabaya,1997,2,,84955.000,140036.000,150820.000,9189.500,,9947.800,3.000,10.000,,379.700,107.150
Outflow,Surabaya,1997,3,,105370.000,245688.000,94369.000,9295.000,,6556.600,3.000,10.000,,281.150,87.830
Outflow,Surabaya,1997,4,,93030.000,169077.080,105951.130,11101.000,,8231.600,1.000,10.500,,271.400,69.180
Outflow,Surabaya,1997,5,,103161.750,197175.020,98078.360,10983.000,,8531.800,0.500,,,283.150,72.980
Outflow,Surabaya,1997,6,,95098.000,185571.740,152854.370,13736.500,,9117.000,2.500,4.250,,318.300,86.850
Outflow,Surabaya,1997,7,,106863.400,175089.580,129810.500,12245.500,,10081.200,1.000,20.250,,395.050,89.400
Outflow,Surabaya,1997,8,,279012.600,259846.680,207653.600,12544.380,,9943.070,25.500,12.000,,554.550,124.280
Outflow,Surabaya,1997,9,,154511.650,179809.900,123839.350,11972.240,,9751.990,1.000,26.050,,615.000,135.750
Outflow,Surabaya,1997,10,,148844.050,187082.480,220440.350,14370.050,,10972.120,,18.860,,836.250,187.300
Outflow,Surabaya,1997,11,,157710.550,230450.900,236140.290,27582.320,,8848.580,,5.000,,782.950,142.750
Outflow,Surabaya,1997,12,,177717.950,165850.940,229753.720,30735.210,,13785.000,1.500,12.750,,907.700,185.630
Outflow,Surabaya,1998,1,,235941.100,408567.100,497161.870,136470.020,,24432.700,,,,738.200,149.630
Outflow,Surabaya,1998,2,,92417.100,111933.900,166286.660,24154.430,,2982.060,3.000,1.000,,423.100,70.130
Outflow,Surabaya,1998,3,,200302.850,237510.140,330117.150,23482.350,,354.850,298.000,48.000,,316.200,40.900
Outflow,Surabaya,1998,4,,131285.950,222644.160,254011.080,10311.310,,198.120,1341.000,562.000,,281.000,35.430
Outflow,Surabaya,1998,5,,405389.750,327531.100,326716.440,38409.230,,600.110,1137.200,593.500,,176.750,31.550
Outflow,Surabaya,1998,6,,384580.000,216452.500,242782.350,68227.120,,7528.200,,248.750,,387.790,60.720
Outflow,Surabaya,1998,7,,325050.000,199468.090,202931.200,17579.680,,7104.080,,,,867.490,118.880
Outflow,Surabaya,1998,8,,229270.000,145451.920,124354.000,10169.230,,4465.120,175.000,57.000,,876.060,120.580
Outflow,Surabaya,1998,9,,264545.000,145558.000,92752.000,15827.000,,3807.200,795.000,236.750,,533.310,75.400
Outflow,Surabaya,1998,10,,241215.000,164042.000,51999.000,14534.500,,8286.900,250.000,95.000,,316.750,88.650
Outflow,Surabaya,1998,11,,230950.250,129241.520,66419.360,13834.500,,7030.160,89.000,35.000,,180.920,36.050
Outflow,Surabaya,1998,12,,312355.000,183074.020,97279.000,16902.860,,10870.840,153.000,183.750,,145.120,27.050
Outflow,Surabaya,1999,1,,406815.000,156030.000,91816.360,14388.500,,15315.920,94.000,260.500,,130.250,
Outflow,Surabaya,1999,2,,358250.500,153284.020,85817.000,11466.500,,7085.500,36.000,334.750,,115.320,
Outflow,Surabaya,1999,3,,585735.700,129887.940,72765.000,11773.390,,5367.700,55.000,309.500,,97.860,9.350
Outflow,Surabaya,1999,4,,406643.800,113238.020,34167.610,10053.890,,7786.900,94.000,274.250,,298.420,50.980
Outflow,Surabaya,1999,5,,442455.000,108054.000,32200.000,7228.000,,7421.300,32.000,318.000,,342.310,44.750
Outflow,Surabaya,1999,6,,477925.000,100844.000,24594.000,8408.000,,9244.000,,297.500,,357.250,25.150
Outflow,Surabaya,1999,7,,419175.000,130890.000,46144.000,9362.500,,10191.700,40.000,427.250,,700.060,99.450
Outflow,Surabaya,1999,8,,883490.000,139272.000,45797.000,10491.000,,10523.300,32.000,535.500,,1077.910,135.650
Outflow,Surabaya,1999,9,,641765.000,122948.000,40891.000,11164.000,,12036.700,45.000,95.500,,1626.400,156.500
Outflow,Surabaya,1999,10,,411385.000,99740.000,41746.020,11854.500,,11890.400,24.000,,,1769.100,71.850
Outflow,Surabaya,1999,11,36213.600,454155.000,110742.000,39179.000,12061.780,,14248.500,6.000,,,1958.600,145.650
Outflow,Surabaya,1999,12,65435.000,1152080.100,176756.000,70048.000,27823.000,,24294.600,,,,1617.400,145.600
Outflow,Surabaya,2000,1,28067.800,276255.000,63500.000,31205.000,12358.500,,4463.900,40.000,,,285.000,60.200
Outflow,Surabaya,2000,2,60314.100,393165.000,74408.000,33605.000,11161.500,,5288.100,23.000,,,173.700,70.500
Outflow,Surabaya,2000,3,94719.400,484238.650,106948.000,48161.000,13188.000,,8013.200,25.000,314.000,,122.500,73.200
Outflow,Surabaya,2000,4,128329.200,318565.000,98476.000,34121.000,10893.500,,4768.500,317.500,287.750,,206.250,73.150
Outflow,Surabaya,2000,5,187192.000,441515.000,108982.000,47974.000,14767.000,,216.400,880.000,1277.750,,150.100,67.050
Outflow,Surabaya,2000,6,251386.300,567115.000,127150.000,51224.000,16711.000,,2786.900,150.000,1708.250,,84.500,43.900
Outflow,Surabaya,2000,7,150067.900,578360.000,118488.000,40423.000,15772.500,,6297.400,,1557.000,,284.300,70.950
Outflow,Surabaya,2000,8,550174.200,532945.000,114246.000,41476.810,16949.500,,11015.200,,1137.000,,660.700,38.300
Outflow,Surabaya,2000,9,360850.400,464470.000,101592.000,37378.000,14381.500,,5801.900,,897.000,,513.000,47.500
Outflow,Surabaya,2000,10,361608.200,361800.000,100426.000,35542.000,17493.500,,518.600,530.000,2404.750,,670.200,16.000
Outflow,Surabaya,2000,11,457809.600,355025.000,105496.000,33246.000,16314.500,,853.100,205.000,1016.750,,563.500,0.100
Outflow,Surabaya,2000,12,820111.800,828903.950,116742.000,62062.000,22633.500,,36699.100,10.000,625.750,,396.600,14.450
Outflow,Surabaya,2001,1,268605.400,282945.000,56610.000,35108.000,15510.000,,3374.200,,1681.500,,108.700,5.450
Outflow,Surabaya,2001,2,297855.200,413480.350,77716.000,38414.000,15957.930,,3544.710,,1628.750,,229.900,
Outflow,Surabaya,2001,3,316843.400,398090.050,70844.040,36598.030,11755.100,,2442.860,,794.000,,360.000,
Outflow,Surabaya,2001,4,369186.500,395400.000,67490.000,39223.000,12139.500,,3154.770,,1889.750,,561.700,12.650
Outflow,Surabaya,2001,5,339973.000,471291.000,66594.000,38453.230,10765.020,,4644.890,,1629.750,,505.400,16.300
Outflow,Surabaya,2001,6,363184.400,460569.000,67110.000,36256.000,6630.500,,7005.030,,1644.000,,465.500,12.600
Outflow,Surabaya,2001,7,425067.100,392335.000,74632.000,44452.620,5951.000,,9933.670,,2208.250,,552.500,8.150
Outflow,Surabaya,2001,8,1037451.400,467525.900,89433.200,40485.380,20725.750,,13100.450,,2049.500,,383.900,12.250
Outflow,Surabaya,2001,9,466162.700,365513.650,62674.800,39889.370,17888.580,,12104.900,,2131.250,,12.200,107.950
Outflow,Surabaya,2001,10,495228.300,399925.000,51760.000,41196.000,19022.000,,18789.420,,632.250,,624.200,44.050
Outflow,Surabaya,2001,11,678090.900,489495.000,63692.000,58911.000,33264.500,,35155.820,,631.250,,450.800,11.850
Outflow,Surabaya,2001,12,795336.800,657298.300,92458.000,56180.200,29780.270,,32326.380,,1622.500,,346.400,1.350
Outflow,Surabaya,2002,1,348652.000,283595.000,51202.000,28911.800,17023.650,,10211.470,,1216.750,,388.200,12.700
Outflow,Surabaya,2002,2,393948.800,432098.200,60704.000,32718.000,17258.310,,8190.980,,1152.750,,356.000,10.850
Outflow,Surabaya,2002,3,438031.500,448133.600,47100.000,27383.010,12815.270,,7877.990,,1399.500,,393.330,9.800
Outflow,Surabaya,2002,4,502971.500,379950.000,55534.000,33772.000,19485.850,,8142.280,,1904.750,,408.440,11.750
Outflow,Surabaya,2002,5,604292.400,457950.000,60218.000,35834.000,19064.910,,9609.760,,2115.500,,428.330,8.300
Outflow,Surabaya,2002,6,531475.800,410131.230,63302.730,35200.000,17660.970,,10181.840,,1972.000,,407.940,5.750
Outflow,Surabaya,2002,7,530623.900,407101.100,59301.540,38332.340,19593.720,,10563.430,,2191.000,,437.690,10.000
Outflow,Surabaya,2002,8,1157350.400,569765.000,72088.000,37352.000,21201.940,,11392.610,,1975.000,,471.260,9.250
Outflow,Surabaya,2002,9,519064.800,406411.650,58136.000,40758.420,20181.450,,13112.780,,2127.250,,568.350,17.900
Outflow,Surabaya,2002,10,694284.400,472637.350,68654.000,44008.000,26288.230,,19409.870,,2322.750,,661.630,19.900
Outflow,Surabaya,2002,11,806241.500,1178455.550,132972.300,85281.990,53012.000,,58494.350,,2923.750,,1003.650,23.050
Outflow,Surabaya,2002,12,517985.200,569382.550,57628.000,26845.160,13934.320,,14085.130,,962.500,,314.880,9.500
Outflow,Surabaya,2003,1,442824.100,376554.400,49520.000,36301.400,19095.560,,8724.430,,1665.250,,466.570,12.650
Outflow,Surabaya,2003,2,470467.600,415825.000,49104.000,31238.000,18156.500,,8210.230,,1428.750,,360.030,14.700
Outflow,Surabaya,2003,3,518033.200,373645.000,49393.520,33634.910,17363.450,,7980.230,,1733.500,,409.790,34.130
Outflow,Surabaya,2003,4,635766.100,448635.000,53024.000,34940.000,18885.000,,8447.290,,2016.250,,425.720,24.250
Outflow,Surabaya,2003,5,687940.200,603335.000,64144.000,36668.000,18239.090,,10336.890,,1910.750,,399.230,13.050
Outflow,Surabaya,2003,6,669162.300,491135.950,61992.000,41783.000,25509.490,,14636.080,0.500,3271.500,,598.540,12.930
Outflow,Surabaya,2003,7,688822.400,505930.000,60098.000,38392.000,27338.000,,18391.280,0.500,4284.750,,824.160,30.850
Outflow,Surabaya,2003,8,1470034.700,1217910.000,117216.000,44175.000,27670.000,,17104.420,1.000,2939.000,,676.700,45.100
Outflow,Surabaya,2003,9,604441.000,577640.000,54728.000,40443.000,29282.000,,20758.280,,3556.000,,759.240,31.600
Outflow,Surabaya,2003,10,688060.500,679905.000,69360.000,53568.000,45199.000,,37158.010,,4190.500,,958.620,29.150
Outflow,Surabaya,2003,11,752039.300,1484803.200,186892.000,82442.000,66866.000,,30590.320,,3052.250,261.000,477.730,18.950
Outflow,Surabaya,2003,12,790679.800,648365.000,35660.000,27181.000,24855.500,,4954.020,4.000,5143.000,63.400,541.830,18.550
Outflow,Surabaya,2004,1,449137.500,568720.000,46662.000,34915.000,22940.000,,14222.450,1.500,2715.000,335.000,242.070,26.650
Outflow,Surabaya,2004,2,465557.600,506568.700,38585.500,28047.300,28364.960,,4083.820,,2345.750,406.000,280.360,20.350
Outflow,Surabaya,2004,3,680765.900,654255.000,53780.000,37420.000,29201.000,,10968.790,0.500,2268.750,252.800,363.420,17.950
Outflow,Surabaya,2004,4,627690.000,959140.000,58018.000,43493.000,23305.500,,11662.400,,1642.250,302.000,424.680,18.850
Outflow,Surabaya,2004,5,428881.700,668491.100,42826.000,37801.000,22131.480,,13023.880,2.500,2258.750,446.600,486.370,27.750
Outflow,Surabaya,2004,6,556142.900,984655.000,72520.000,48428.000,30216.000,,11956.500,0.500,1631.500,378.600,283.390,18.350
Outflow,Surabaya,2004,7,541332.200,940340.000,75342.000,42501.000,25338.500,,12910.070,3.500,1590.250,319.600,188.640,9.600
Outflow,Surabaya,2004,8,824904.900,1412055.000,141660.000,47525.000,28871.500,,11282.510,1.000,1971.250,561.200,258.030,23.700
Outflow,Surabaya,2004,9,569242.600,904840.000,71390.000,46320.000,30686.500,,10820.450,,2297.000,547.200,122.330,21.150
Outflow,Surabaya,2004,10,816840.500,893413.500,105209.560,71662.000,57218.390,,17701.890,24.000,2614.250,633.000,242.560,31.000
Outflow,Surabaya,2004,11,438402.000,1608891.500,156424.000,78690.000,36070.000,,27747.480,0.500,2139.750,529.600,5.840,3.450
Outflow,Surabaya,2004,12,707784.700,855610.200,64924.280,41657.000,30134.500,,9594.430,0.500,2121.500,682.800,4.670,11.950
Outflow,Surabaya,2005,1,431123.700,594670.000,66149.080,36571.000,21283.000,,8307.850,2.000,1640.750,417.900,6.830,16.950
Outflow,Surabaya,2005,2,442379.300,776916.600,84003.540,14778.000,33359.000,,8527.900,,1335.250,211.400,239.020,17.750
Outflow,Surabaya,2005,3,566497.200,932518.900,55301.160,24764.000,28873.000,,10875.760,0.500,1494.000,224.600,283.850,11.750
Outflow,Surabaya,2005,4,441201.500,1002975.300,79509.160,34972.000,20772.000,,10384.760,,1211.000,287.200,82.510,18.850
Outflow,Surabaya,2005,5,512034.700,925292.800,68821.420,22305.000,29093.500,,10062.070,,1368.500,302.400,252.540,5.050
Outflow,Surabaya,2005,6,503497.000,985919.700,101693.860,11046.000,35773.500,,8203.890,17.500,2286.250,625.200,171.500,29.050
Outflow,Surabaya,2005,7,761794.500,893229.000,104057.340,16263.000,24966.000,,10097.590,30.000,1270.500,318.100,80.570,13.750
Outflow,Surabaya,2005,8,828609.500,807224.200,140320.520,12973.000,36242.000,,14130.280,180.500,2488.250,508.500,153.370,8.400
Outflow,Surabaya,2005,9,681719.500,1003455.000,84323.420,29403.000,27723.500,,13325.100,153.000,2226.250,681.000,242.530,13.750
Outflow,Surabaya,2005,10,1528264.400,1743149.950,126186.680,42287.990,79501.000,,23438.020,359.000,2913.250,728.400,199.220,14.050
Outflow,Surabaya,2005,11,458140.500,295882.150,42500.880,18174.180,15497.000,,4775.910,8.500,241.510,40.100,78.470,8.150
Outflow,Surabaya,2005,12,1116464.400,1016825.400,71334.380,33716.240,26080.900,,7622.880,61.000,1398.090,364.900,70.680,53.550
Outflow,Surabaya,2006,1,587086.000,624722.200,56221.160,30983.600,28908.000,,7153.870,84.500,1884.250,401.800,207.240,26.700
Outflow,Surabaya,2006,2,732453.800,592044.350,49746.040,30226.280,26894.000,,7422.830,60.500,1464.000,292.100,257.770,10.950
Outflow,Surabaya,2006,3,903178.400,863231.050,62737.400,39013.680,28726.110,,7654.070,68.500,1192.250,274.400,214.320,2.380
Outflow,Surabaya,2006,4,728799.000,611781.650,43964.100,29831.000,29979.500,,7076.590,43.500,1147.900,304.100,305.970,18.200
Outflow,Surabaya,2006,5,939905.300,658717.850,47184.000,30197.000,28718.500,,6634.990,9.500,1539.000,369.900,238.680,22.150
Outflow,Surabaya,2006,6,931597.400,806455.650,63789.500,47112.000,30516.500,,8499.320,,999.580,298.500,127.360,28.800
Outflow,Surabaya,2006,7,924956.600,873063.200,73048.500,58078.660,23348.000,,10231.980,,799.030,281.400,192.740,31.950
Outflow,Surabaya,2006,8,680302.600,1322698.300,73511.800,60942.000,27567.000,,6709.900,,1611.250,699.600,528.230,0.550
Outflow,Surabaya,2006,9,1104066.700,1044103.050,69744.000,61375.000,39963.000,,14613.490,,1734.750,694.900,506.630,34.900
Outflow,Surabaya,2006,10,1215282.600,1082135.450,100106.820,79310.000,58502.000,,79653.250,,858.750,136.500,257.220,16.750
Outflow,Surabaya,2006,11,716273.100,596611.400,32588.000,47073.000,16184.000,,7594.860,,2482.250,31.200,508.950,42.400
Outflow,Surabaya,2006,12,762159.100,532842.450,28929.400,40723.340,10360.680,,5649.900,,1759.000,0.200,333.800,34.950
Outflow,Surabaya,2007,1,96037.500,128032.950,8426.000,34804.000,9345.500,,5963.270,11.000,1782.500,4.000,4.030,99.550
Outflow,Surabaya,2007,2,110305.600,140026.300,18008.000,32120.000,14547.500,,5293.870,,1705.500,178.800,128.350,57.350
Outflow,Surabaya,2007,3,221993.400,72719.950,6383.940,29662.610,13258.000,,5938.060,,986.250,278.400,207.200,0.300
Outflow,Surabaya,2007,4,111063.400,201905.700,4737.800,24953.850,16797.670,,5990.340,,451.500,323.900,160.640,
Outflow,Surabaya,2007,5,273734.100,232231.200,15784.000,32529.000,21815.960,,6950.290,,703.000,695.100,145.640,2.650
Outflow,Surabaya,2007,6,476521.900,265925.000,29330.000,30090.000,17574.000,,6094.130,53.000,807.500,529.200,60.520,0.050
Outflow,Surabaya,2007,7,214169.600,132498.750,33690.000,37624.000,21964.500,,7472.920,,853.610,413.400,140.540,7.050
Outflow,Surabaya,2007,8,149893.900,172377.900,46288.660,41551.000,26794.500,,8892.970,,949.830,433.400,172.000,37.300
Outflow,Surabaya,2007,9,641286.900,441602.250,69463.260,69060.000,65720.500,,23410.480,,706.750,421.800,214.830,20.950
Outflow,Surabaya,2007,10,409327.800,1468860.700,74120.020,32687.020,55918.580,,40797.090,,1078.250,388.000,264.280,1.000
Outflow,Surabaya,2007,11,192349.600,182674.800,19028.000,10679.000,34209.000,,6460.420,,914.320,296.800,207.500,2.650
Outflow,Surabaya,2007,12,790516.900,970585.000,15864.000,12660.000,29900.500,,5204.590,383.500,844.500,296.200,212.130,1.200
Outflow,Surabaya,2008,1,123123.700,179210.000,16378.000,19167.000,37825.500,,7358.050,,964.750,226.000,222.130,3.150
Outflow,Surabaya,2008,2,337475.200,284650.000,12710.000,13092.000,26703.000,,6200.850,,818.500,5.200,176.830,1.200
Outflow,Surabaya,2008,3,383505.000,313640.000,25820.000,17674.000,27269.500,,6453.220,40.000,912.250,390.200,153.660,2.850
Outflow,Surabaya,2008,4,421497.000,314105.000,25015.160,32997.000,17854.350,,8326.360,164.000,1680.500,905.600,60.340,4.700
Outflow,Surabaya,2008,5,293420.200,274800.000,37484.000,36923.000,22758.500,,6555.960,,1690.000,889.400,30.690,7.200
Outflow,Surabaya,2008,6,545596.400,463355.000,34526.000,38072.000,21100.000,,6162.950,,823.750,977.400,29.840,25.150
Outflow,Surabaya,2008,7,182041.900,238591.000,30948.000,44133.000,27953.500,,7566.670,,1279.750,1131.200,16.640,22.750
Outflow,Surabaya,2008,8,461185.100,510331.000,44068.000,37657.000,46001.500,,10128.650,,1196.000,302.600,0.420,40.500
Outflow,Surabaya,2008,9,1415064.800,1783815.000,107380.400,47965.000,121891.600,,25741.020,,1763.250,,0.150,28.350
Outflow,Surabaya,2008,10,116308.300,178846.000,9694.000,9158.000,38746.500,,4849.030,,2313.500,,0.130,46.450
Outflow,Surabaya,2008,11,226823.700,298400.000,10426.320,5264.560,29967.450,,4223.450,,1159.000,6.000,0.030,45.650
Outflow,Surabaya,2008,12,1113701.500,1143660.000,15968.000,9560.000,17779.500,,4248.790,,705.500,25.400,0.690,26.350
Outflow,Surabaya,2009,1,157801.000,106625.000,16410.000,14467.000,7472.000,,4354.150,,425.750,71.400,0.300,9.800
Outflow,Surabaya,2009,2,96835.200,139945.000,13542.000,10616.000,7406.500,,3456.460,,336.750,116.200,5.190,27.900
Outflow,Surabaya,2009,3,181356.700,203420.000,25594.000,19755.000,14328.500,,3550.340,,296.500,138.400,19.190,22.450
Outflow,Surabaya,2009,4,460943.900,620975.000,32616.000,27315.000,19425.000,,1374.330,,299.250,227.000,46.860,22.500
Outflow,Surabaya,2009,5,264847.500,246820.000,34774.000,26033.000,18015.080,,398.210,,470.750,230.800,70.710,12.130
Outflow,Surabaya,2009,6,690260.000,475495.000,39056.000,30390.000,20660.500,,1087.980,,1520.500,461.200,222.510,20.250
Outflow,Surabaya,2009,7,260257.900,373536.600,40747.840,31614.920,18858.100,,818.060,,2034.000,511.200,280.270,10.730
Outflow,Surabaya,2009,8,164288.400,385109.000,92312.540,34740.800,18356.650,28243.000,5626.190,,1068.250,449.000,314.030,17.950
Outflow,Surabaya,2009,9,1016288.800,1586641.000,116702.320,47029.160,71123.050,55702.000,12742.180,,1347.500,109.000,94.970,
Outflow,Surabaya,2009,10,186789.300,322915.800,15010.320,8708.160,15858.550,5979.800,1117.930,,1740.750,384.200,212.280,7.150
Outflow,Surabaya,2009,11,536520.300,652680.000,6656.000,7150.000,10077.500,4495.800,1216.310,,1040.250,344.600,218.830,0.850
Outflow,Surabaya,2009,12,463060.300,659473.200,13814.560,7519.280,7136.400,6289.000,1417.590,,449.250,123.600,126.440,11.300
Outflow,Surabaya,2010,1,200418.200,251095.000,6504.000,7191.000,5865.510,4329.200,980.320,,149.000,82.600,67.720,10.750
Outflow,Surabaya,2010,2,421683.200,359250.000,21038.160,22237.000,12265.000,6112.000,3482.410,,196.000,178.400,160.780,8.300
Outflow,Surabaya,2010,3,430082.300,299300.100,5056.860,13841.320,4788.740,4762.810,1567.840,,169.750,233.600,198.680,5.100
Outflow,Surabaya,2010,4,366303.500,467373.000,11154.260,19662.280,4684.190,5147.810,2225.220,,203.250,208.400,229.930,28.600
Outflow,Surabaya,2010,5,306828.700,319368.200,21020.080,22570.100,9057.820,6582.220,1660.830,,172.500,237.200,231.520,25.850
Outflow,Surabaya,2010,6,447538.000,340429.500,43850.380,30248.130,20369.620,9266.830,1346.890,,259.750,241.800,222.080,31.500
Outflow,Surabaya,2010,7,298553.100,507914.300,58534.220,65632.130,30319.670,20030.690,353.590,773.820,358.250,268.800,219.430,22.250
Outflow,Surabaya,2010,8,579391.100,630286.650,252036.080,357932.140,298478.620,206353.700,13770.490,9341.100,1009.500,293.800,286.940,0.500
Outflow,Surabaya,2010,9,804622.200,738191.300,11174.160,27257.170,16384.060,11391.840,2810.980,454.570,441.000,73.000,77.190,5.000
Outflow,Surabaya,2010,10,193861.100,202968.900,1890.320,1889.420,1432.710,477.260,287.630,148.000,92.850,36.000,30.030,1.050
Outflow,Surabaya,2010,11,196747.000,188371.650,1850.200,1850.170,1071.120,395.850,270.140,119.000,96.650,52.600,52.420,0.660
Outflow,Surabaya,2010,12,1092271.900,594486.600,2584.540,2142.030,1193.050,437.650,310.790,97.000,81.500,53.400,42.740,0.050
Outflow,Surabaya,2011,1,265980.100,203135.650,16504.200,11837.530,5967.050,520.690,340.560,164.680,109.250,45.200,28.620,0.300
Outflow,Surabaya,2011,2,244414.400,272329.800,20740.180,5938.060,3021.200,545.540,357.870,115.320,92.500,45.600,44.470,0.000
Outflow,Surabaya,2011,3,423416.400,508510.100,20378.360,12759.480,7247.640,1863.850,362.690,140.500,114.750,56.200,33.380,0.000
Outflow,Surabaya,2011,4,901540.700,575554.100,26040.300,32720.000,25740.500,1007.260,183.330,165.000,128.500,59.200,31.130,0.050
Outflow,Surabaya,2011,5,593732.000,414814.350,6278.590,5551.150,2982.100,1165.600,157.640,643.000,166.430,80.600,78.730,0.250
Outflow,Surabaya,2011,6,531594.200,653368.300,36088.160,28552.000,18356.550,1431.400,200.140,1076.000,241.830,77.400,154.170,0.500
Outflow,Surabaya,2011,7,598399.500,627807.050,147476.120,125517.010,102044.010,40163.730,157.450,4020.420,320.500,83.800,264.770,0.000
Outflow,Surabaya,2011,8,1950332.300,2405395.900,205424.100,254203.000,266671.520,171295.140,11210.910,4724.220,786.750,93.200,238.940,0.200
Outflow,Surabaya,2011,9,214677.600,177372.450,1074.600,910.170,556.730,240.200,115.430,131.000,111.000,47.000,25.370,0.000
Outflow,Surabaya,2011,10,560704.700,471399.350,1589.620,1533.220,875.700,344.560,115.210,183.000,144.750,156.600,133.630,0.000
Outflow,Surabaya,2011,11,582591.600,469967.650,4432.840,2584.480,1647.170,594.830,108.260,1082.840,416.250,276.600,89.990,10.000
Outflow,Surabaya,2011,12,1382966.900,1314798.150,20644.820,16487.020,7602.650,2545.290,230.500,613.160,486.000,124.000,191.220,0.800
Outflow,Surabaya,2012,1,143536.700,125825.300,28456.880,15534.360,6531.170,1829.010,143.620,764.000,763.080,188.800,91.850,0.400
Outflow,Surabaya,2012,2,565392.900,517387.800,13230.760,10419.250,2414.720,1203.240,194.350,940.000,312.000,190.800,98.530,0.200
Outflow,Surabaya,2012,3,945576.100,916364.250,22315.040,18894.300,7146.470,2150.590,237.160,1689.000,667.250,285.800,102.320,1.000
